# ghfkdsjgbfkadrjehbgfadrg
65 | King-Miller | 89
66 | Ritchie Inc | 2
67 | Schiller LLC | 87
68 | Dietrich PLC | 195
69 | Haag Lockman and Ullrich | 165
70 | Hills-Boyle | 61
71 | Bayer-Reichert | 124
72 | Adams Rohan and Langosh | 24
73 | Waters Group | 137
74 | Daugherty-Schaefer | 130
75 | Rolfson-Vandervort | 63
76 | Moore Inc | 91
77 | Hamill Erdman and O\Hara | 226
78 | Stehr Deckow and Kohler | 90
79 | Auer Hoeger and Lockman | 230
80 | Donnelly Keeling and Homenick | 128
81 | Tremblay Kerluke and Schmeler | 56
82 | Cole Streich and Lindgren | 75
83 | Dooley Schmidt and Lindgren | 44
84 | Bernhard Marquardt and Bechtelar | 144
85 | O\Hara Bergnaum and Schmitt | 36
86 | Hamill Rice and Reichert | 172
87 | O\Keefe-Ziemann | 151
88 | Erdman-Gibson | 164
89 | Dach and Sons | 29
90 | Mann Predovic and Barton | 90
91 | Kozey-Stoltenberg | 204
92 | Pouros Feeney and Conn | 229
93 | Schuster-Harris | 89
94 | O\Hara-Jast | 189
95 | Heathcote-Dietrich | 189
96 | Hettinger Kuhic and Weber | 211
97 | Frami Bradtke and Bernier | 205
98 | Hessel Group | 223
99 | Upton Greenfelder and Ryan | 184
100 | Gerlach and Sons | 87
101 | Bernier PLC | 194
102 | Bergnaum and Sons | 112
103 | Toy Bode and Mayert | 71
104 | Conroy Klein and Turner | 96
105 | Weber Toy and Dare | 145
106 | Littel Inc | 218
107 | Graham PLC | 142
108 | Heathcote-Hayes | 82
109 | Vandervort Inc | 39
110 | Mayer LLC | 156
111 | Murphy-Fay | 179
112 | Hoeger-Batz | 61
113 | Kuvalis-Price | 149
114 | Spinka Leuschke and Hane | 83
115 | Leffler and Sons | 143
116 | Wiza and Sons | 191
117 | Hilll Mayer and Bogan | 175
118 | Cummerata-Price | 3
119 | Hintz-Walsh | 21
120 | Collier-Von | 101
121 | Mosciski Heidenreich and Buckridge | 197
122 | Bauch-Runolfsdottir | 18
123 | Brekke Rempel and Kozey | 222
124 | Heller-Marks | 74
125 | Smitham-Turcotte | 2
126 | Lueilwitz Wisoky and Wilkinson | 218
127 | Gottlieb Schroeder and Dicki | 90
128 | Wisoky PLC | 149
129 | Kuhlman Cassin and Mraz | 121
130 | Klein Kunde and Shields | 153
131 | Wintheiser Inc | 160
132 | Quigley-Kerluke | 191
133 | Anderson Gleason and Nitzsche | 218
134 | Sauer-Muller | 224
135 | Cummings Little and Hettinger | 131
136 | Ondricka Group | 170
137 | Littel Inc | 93
138 | Graham-Bruen | 113
139 | Hamill-Bartoletti | 44
140 | Paucek and Sons | 64
141 | Larkin Ltd | 102
142 | VonRueden Group | 48
143 | Considine-Schmitt | 129
144 | Cruickshank-Friesen | 149
145 | Daugherty-Schaefer | 74
146 | Heller-Marks | 181
147 | Kulas Cassin and Gerlach | 88
148 | Bartell Inc | 110
149 | Casper Wintheiser and Fritsch | 165
150 | Grant Hermann and Kuhlman | 20
151 | VonRueden Schimmel and Renner | 102
152 | Kerluke PLC | 176
153 | Schmeler Gibson and Romaguera | 212
154 | Bayer-Reichert | 220
155 | Littel and Sons | 105
156 | Raynor-Cummings | 67
157 | Okuneva-Quitzon | 4
158 | Trantow-Nitzsche | 187
159 | Abbott-Koss | 156
160 | Upton Greenfelder and Ryan | 113
161 | Abbott Wiegand and Mills | 210
162 | McKenzie-Dietrich | 152
163 | Bechtelar and Sons | 156
164 | O\Keefe LLC | 155
165 | Beer-Mayert | 36
166 | Kozey and Sons | 58
167 | Macejkovic-Windler | 79
168 | Bahringer-Hoeger | 97
169 | Rath and Sons | 182
170 | Larson PLC | 139
171 | Veum-Corkery | 194
172 | Johns-Monahan | 204
173 | Kozey-Stoltenberg | 128
174 | Frami Jacobs and Ledner | 159
175 | Langosh PLC | 126
176 | Lindgren-Fisher | 36
177 | Swaniawski Schuster and Rodriguez | 13
178 | Deckow Group | 16
179 | Friesen Group | 65
180 | Bernhard Marquardt and Bechtelar | 133
181 | Dibbert PLC | 48
182 | Crooks-Lesch | 190
183 | Carroll PLC | 87
184 | Brekke Rempel and Kozey | 204
185 | Hand and Sons | 146
186 | Waelchi Mohr and Schuppe | 18
187 | Lubowitz Gibson and Harris | 212
188 | Hammes Stamm and Swift | 82
189 | Walter-Schamberger | 30
190 | Koss Group | 76
191 | Langosh PLC | 70
192 | Nader Lemke and Mueller | 197
193 | Langworth Group | 162
194 | Haley Hackett and Walter | 82
195 | Waters Group | 131
196 | Herzog Mueller and Thompson | 207
197 | Grady Langworth and Cole | 62
198 | Stroman Cole and Marquardt | 99
199 | Spinka-Marvin | 40
200 | Weissnat Bayer and Moore | 23
201 | Green LLC | 124
202 | Bartoletti Fay and Fay | 33
203 | Hermiston Simonis and Carter | 61
204 | Blick Blanda and Bins | 9
205 | Price Ltd | 3
206 | Koch PLC | 45
207 | Frami Jacobs and Ledner | 42
208 | Okuneva-DuBuque | 135
209 | Dickens Halvorson and Spinka | 45
210 | Mohr Kshlerin and Bayer | 213
211 | Larson PLC | 59
212 | Runolfsdottir and Sons | 80
213 | Hessel Group | 64
214 | Boyle-Bednar | 81
215 | VonRueden Zieme and Corwin | 59
216 | Runolfsson Steuber and Lakin | 196
217 | Schaefer Inc | 93
218 | Bernhard Marquardt and Bechtelar | 187
219 | Cassin-Hane | 128
220 | Oberbrunner PLC | 150
221 | Bogisich PLC | 11
222 | O\Hara-West | 124
223 | Mohr Hirthe and Collins | 192
224 | Effertz-Schowalter | 23
225 | Funk LLC | 249
226 | Hettinger Nolan and Hintz | 122
227 | Stokes-Jakubowski | 151
228 | O\Keefe-Botsford | 165
229 | Spencer-Jacobs | 195
230 | Wiegand Ltd | 51
231 | Wisozk Breitenberg and Hamill | 85
232 | Spencer Inc | 166
233 | Hettinger Nolan and Hintz | 176
234 | Brown Bayer and Stokes | 172
235 | Schaefer-Erdman | 142
236 | Dietrich LLC | 74
237 | Hagenes Group | 36
238 | Rolfson PLC | 142
239 | Hayes Ziemann and Schulist | 49
240 | Franecki Cremin and Padberg | 51
241 | VonRueden Zieme and Corwin | 236
242 | Schamberger Ltd | 157
243 | Schmeler Schmeler and Feil | 69
244 | Marquardt Greenfelder and Bayer | 181
245 | Turner PLC | 126
246 | Macejkovic-Windler | 121
247 | Conroy Klein and Turner | 113
248 | Turcotte-Auer | 7
249 | Bayer-Gerhold | 109
# aliuwjgfdklijghfdskjghvbfdsjk
0 | 0 | 1245 | 77.37
0 | 1 | 769 | 78.41
0 | 2 | 1229 | 68.54
0 | 3 | 1257 | 72.26
0 | 4 | 1409 | 72.64
0 | 5 | 1355 | 63.61
0 | 6 | 1218 | 87.72
0 | 7 | 1358 | 60.39
0 | 8 | 1316 | 82.31
0 | 9 | 1024 | 69.74
0 | 10 | 824 | 92.23
0 | 11 | 1049 | 79.01
0 | 12 | 1273 | 64.89
0 | 13 | 1014 | 62.91
0 | 14 | 986 | 87.43
0 | 15 | 1040 | 79.85
0 | 16 | 918 | 79.04
0 | 17 | 907 | 63.47
0 | 18 | 1049 | 61.5
0 | 19 | 1027 | 71.17
0 | 20 | 889 | 95.68
0 | 21 | 1026 | 95.44
0 | 22 | 718 | 97.52
0 | 23 | 1186 | 84.79
0 | 24 | 920 | 81.99
0 | 25 | 1183 | 89.18
0 | 26 | 1188 | 66.22
0 | 27 | 994 | 66.41
0 | 28 | 1017 | 96.23
0 | 29 | 909 | 67.17
0 | 30 | 1300 | 70.64
0 | 31 | 1174 | 98.92
0 | 32 | 874 | 88.52
0 | 33 | 1211 | 76.31
0 | 34 | 1038 | 98.23
0 | 35 | 719 | 75.34
0 | 36 | 1200 | 85.13
0 | 37 | 1270 | 60.53
0 | 38 | 797 | 66.52
0 | 39 | 1392 | 61.3
0 | 40 | 1068 | 82.27
0 | 41 | 1344 | 74.02
0 | 42 | 1003 | 65.02
0 | 43 | 1021 | 86.55
0 | 44 | 1142 | 90.65
0 | 45 | 1228 | 77.86
0 | 46 | 1199 | 99.29
0 | 47 | 832 | 61.02
0 | 48 | 1160 | 72.69
0 | 49 | 1267 | 81.94
0 | 50 | 1380 | 72.14
0 | 51 | 1217 | 82.63
0 | 52 | 1120 | 82.18
0 | 53 | 756 | 69.28
0 | 54 | 961 | 92.6
0 | 55 | 714 | 72.71
0 | 56 | 888 | 69.27
0 | 57 | 754 | 91.17
0 | 58 | 852 | 84.98
0 | 59 | 747 | 79.37
0 | 60 | 1352 | 74.17
0 | 61 | 898 | 69.32
0 | 62 | 743 | 78.33
0 | 63 | 1196 | 89.79
0 | 64 | 942 | 98.47
0 | 65 | 1014 | 65.24
0 | 66 | 1302 | 90.88
0 | 67 | 779 | 69.9
0 | 68 | 1282 | 95.77
0 | 69 | 1271 | 77.04
0 | 70 | 1141 | 64.69
0 | 71 | 1152 | 82.61
0 | 72 | 1208 | 61.88
0 | 73 | 1078 | 80.54
0 | 74 | 1288 | 92.14
0 | 75 | 1089 | 86.07
0 | 76 | 1086 | 89.49
0 | 77 | 1101 | 84.08
0 | 78 | 790 | 89.42
0 | 79 | 1134 | 98.51
0 | 80 | 1075 | 83.75
0 | 81 | 871 | 95.57
0 | 82 | 1229 | 70.87
0 | 83 | 940 | 78.93
0 | 84 | 1174 | 92.18
0 | 85 | 1319 | 65.17
0 | 86 | 1351 | 64
0 | 87 | 1123 | 70.76
0 | 88 | 1341 | 86.22
0 | 89 | 966 | 68.88
0 | 90 | 716 | 76.45
0 | 91 | 1058 | 90.4
0 | 92 | 1325 | 61.55
0 | 93 | 1056 | 75.65
0 | 94 | 1155 | 64.46
0 | 95 | 1287 | 73.44
0 | 96 | 1277 | 60.44
0 | 97 | 742 | 74.8
0 | 98 | 914 | 76.26
0 | 99 | 1301 | 78.13
0 | 100 | 1393 | 81.61
0 | 101 | 1380 | 90.52
0 | 102 | 1350 | 94.8
0 | 103 | 1194 | 89.37
0 | 104 | 852 | 72.12
0 | 105 | 1118 | 76.92
0 | 106 | 1131 | 60.59
0 | 107 | 712 | 85.69
0 | 108 | 786 | 90.18
0 | 109 | 1409 | 69.57
0 | 110 | 1407 | 78.6
0 | 111 | 1065 | 87.95
0 | 112 | 948 | 89.39
0 | 113 | 992 | 68.54
0 | 114 | 1335 | 62.48
0 | 115 | 1238 | 99.94
0 | 116 | 1344 | 81.86
0 | 117 | 1390 | 63.11
0 | 118 | 1304 | 84.71
0 | 119 | 841 | 60.14
0 | 120 | 835 | 91.67
0 | 121 | 806 | 99.77
0 | 122 | 830 | 83.21
0 | 123 | 981 | 67.75
0 | 124 | 1299 | 69.73
0 | 125 | 1116 | 62.8
0 | 126 | 839 | 82.81
0 | 127 | 1337 | 67.45
0 | 128 | 992 | 87.48
0 | 129 | 1058 | 80.75
0 | 130 | 1283 | 84.33
0 | 131 | 1084 | 74.09
0 | 132 | 1092 | 98.96
0 | 133 | 1308 | 72.17
0 | 134 | 1021 | 94.53
0 | 135 | 1065 | 92.06
0 | 136 | 1108 | 79.74
0 | 137 | 1182 | 60.6
0 | 138 | 1025 | 96.85
0 | 139 | 1389 | 93.45
0 | 140 | 1214 | 95.78
0 | 141 | 1105 | 81.32
0 | 142 | 1131 | 95.99
0 | 143 | 1182 | 85.09
0 | 144 | 1331 | 66.66
0 | 145 | 747 | 91.5
0 | 146 | 956 | 68.58
0 | 147 | 1254 | 96.65
0 | 148 | 1278 | 64.9
0 | 149 | 926 | 80.36
0 | 150 | 1347 | 77.59
0 | 151 | 939 | 60
0 | 152 | 1052 | 96.59
0 | 153 | 1251 | 77.61
0 | 154 | 1082 | 80.22
0 | 155 | 739 | 65.15
0 | 156 | 926 | 78.84
0 | 157 | 925 | 96.06
0 | 158 | 1351 | 76.6
0 | 159 | 1357 | 88.24
0 | 160 | 1151 | 85.08
0 | 161 | 1118 | 98.13
0 | 162 | 1175 | 91.09
0 | 163 | 880 | 74.77
0 | 164 | 1005 | 72.33
0 | 165 | 1212 | 86.35
0 | 166 | 932 | 88.67
0 | 167 | 1020 | 64.07
0 | 168 | 1114 | 72.47
0 | 169 | 1345 | 64.29
0 | 170 | 1201 | 65.19
0 | 171 | 1113 | 60.91
0 | 172 | 879 | 65.1
0 | 173 | 1074 | 97.08
0 | 174 | 741 | 93.77
0 | 175 | 1119 | 75.73
0 | 176 | 890 | 90.2
0 | 177 | 813 | 99.6
0 | 178 | 1129 | 98.5
0 | 179 | 1150 | 87.32
0 | 180 | 1301 | 86.37
0 | 181 | 1290 | 95.66
0 | 182 | 891 | 82.41
0 | 183 | 1142 | 69.78
0 | 184 | 818 | 94.26
0 | 185 | 1257 | 82.95
0 | 186 | 1164 | 98.15
0 | 187 | 1413 | 70.43
0 | 188 | 754 | 84.24
0 | 189 | 1158 | 66.07
0 | 190 | 961 | 98.05
0 | 191 | 742 | 65.92
0 | 192 | 1178 | 73.94
0 | 193 | 1343 | 84.19
0 | 194 | 1021 | 94.4
0 | 195 | 1358 | 81.23
0 | 196 | 1227 | 73.37
0 | 197 | 1362 | 79.77
0 | 198 | 1060 | 81.26
0 | 199 | 1390 | 68.99
0 | 200 | 1063 | 94.18
0 | 201 | 1037 | 71.52
0 | 202 | 776 | 76.02
0 | 203 | 1019 | 76.82
0 | 204 | 1034 | 64.18
0 | 205 | 742 | 67.09
0 | 206 | 1369 | 71.61
0 | 207 | 887 | 75.53
0 | 208 | 983 | 79.9
0 | 209 | 1071 | 80.45
0 | 210 | 1331 | 90.07
0 | 211 | 810 | 83.62
0 | 212 | 1241 | 86.76
0 | 213 | 1211 | 63.53
0 | 214 | 1211 | 92.97
0 | 215 | 1093 | 61.6
0 | 216 | 1384 | 80.46
0 | 217 | 1374 | 83.65
0 | 218 | 952 | 76.69
0 | 219 | 856 | 64.17
0 | 220 | 1061 | 72.98
0 | 221 | 757 | 75.62
0 | 222 | 1085 | 97.98
0 | 223 | 843 | 89.21
0 | 224 | 1286 | 82.59
0 | 225 | 773 | 91.43
0 | 226 | 851 | 79.76
0 | 227 | 996 | 69.76
0 | 228 | 1298 | 89.87
0 | 229 | 835 | 80.8
0 | 230 | 839 | 77.61
0 | 231 | 1218 | 78.07
0 | 232 | 793 | 90.11
0 | 233 | 731 | 62.11
0 | 234 | 1002 | 84.14
0 | 235 | 972 | 90.78
0 | 236 | 1235 | 67.68
0 | 237 | 833 | 85.87
0 | 238 | 977 | 91.35
0 | 239 | 1069 | 79.97
0 | 240 | 815 | 78.65
0 | 241 | 1006 | 92.18
0 | 242 | 938 | 60.44
0 | 243 | 1044 | 66.75
0 | 244 | 1147 | 95.85
0 | 245 | 1148 | 98.48
0 | 246 | 1243 | 64.11
0 | 247 | 1278 | 62.66
0 | 248 | 817 | 83.68
0 | 249 | 1007 | 85.4
1 | 0 | 389 | 87.89
1 | 1 | 226 | 88.34
1 | 2 | 330 | 90.22
1 | 3 | 338 | 76.38
1 | 4 | 347 | 85.36
1 | 5 | 418 | 60.3
1 | 6 | 278 | 90.17
1 | 7 | 234 | 70.6
1 | 8 | 301 | 76.18
1 | 9 | 392 | 73.02
1 | 10 | 318 | 84.61
1 | 11 | 284 | 88.69
1 | 12 | 245 | 76.37
1 | 13 | 259 | 77.53
1 | 14 | 263 | 82.06
1 | 15 | 383 | 67.71
1 | 16 | 295 | 97.15
1 | 17 | 416 | 86.78
1 | 18 | 294 | 90.36
1 | 19 | 267 | 93.94
1 | 20 | 395 | 61.47
1 | 21 | 376 | 64.17
1 | 22 | 258 | 99.98
1 | 23 | 234 | 91.44
1 | 24 | 305 | 66.93
1 | 25 | 248 | 93.59
1 | 26 | 373 | 76.71
1 | 27 | 312 | 69.32
1 | 28 | 323 | 88.84
1 | 29 | 275 | 87.58
1 | 30 | 346 | 85.32
1 | 31 | 372 | 92.17
1 | 32 | 350 | 89.44
1 | 33 | 386 | 84.92
1 | 34 | 336 | 75.68
1 | 35 | 260 | 75.69
1 | 36 | 352 | 96.85
1 | 37 | 236 | 79.73
1 | 38 | 357 | 99.05
1 | 39 | 412 | 83.72
1 | 40 | 267 | 61.97
1 | 41 | 325 | 71.13
1 | 42 | 235 | 64.41
1 | 43 | 239 | 92.84
1 | 44 | 392 | 71.66
1 | 45 | 291 | 66.02
1 | 46 | 429 | 73.56
1 | 47 | 268 | 77.3
1 | 48 | 357 | 73.7
1 | 49 | 355 | 66.92
1 | 50 | 234 | 88.53
1 | 51 | 226 | 69.62
1 | 52 | 415 | 91.75
1 | 53 | 368 | 72.82
1 | 54 | 313 | 65.79
1 | 55 | 251 | 91.36
1 | 56 | 280 | 97.8
1 | 57 | 284 | 92.79
1 | 58 | 427 | 99.61
1 | 59 | 348 | 83.38
1 | 60 | 329 | 65.36
1 | 61 | 365 | 80.84
1 | 62 | 308 | 69.85
1 | 63 | 299 | 76.81
1 | 64 | 288 | 88.03
1 | 65 | 217 | 64.53
1 | 66 | 298 | 70.1
1 | 67 | 359 | 73.28
1 | 68 | 267 | 96.45
1 | 69 | 409 | 81.28
1 | 70 | 420 | 97.56
1 | 71 | 428 | 87.08
1 | 72 | 291 | 80.58
1 | 73 | 401 | 92.83
1 | 74 | 427 | 78.98
1 | 75 | 252 | 62.07
1 | 76 | 346 | 65.05
1 | 77 | 390 | 61.94
1 | 78 | 363 | 85.1
1 | 79 | 277 | 72.67
1 | 80 | 420 | 71.85
1 | 81 | 230 | 85.03
1 | 82 | 219 | 71.46
1 | 83 | 233 | 70.76
1 | 84 | 353 | 97.75
1 | 85 | 307 | 80.03
1 | 86 | 272 | 74.03
1 | 87 | 321 | 89.62
1 | 88 | 217 | 93.12
1 | 89 | 272 | 70.97
1 | 90 | 422 | 85.96
1 | 91 | 241 | 60.76
1 | 92 | 222 | 94.16
1 | 93 | 233 | 69.12
1 | 94 | 270 | 85.06
1 | 95 | 327 | 81.46
1 | 96 | 349 | 72.67
1 | 97 | 247 | 85.07
1 | 98 | 224 | 71.67
1 | 99 | 268 | 88.05
1 | 100 | 220 | 84.98
1 | 101 | 378 | 76.88
1 | 102 | 275 | 72.71
1 | 103 | 224 | 84.23
1 | 104 | 285 | 86.38
1 | 105 | 396 | 86.61
1 | 106 | 279 | 69.94
1 | 107 | 409 | 63.87
1 | 108 | 241 | 87.7
1 | 109 | 380 | 80.84
1 | 110 | 346 | 79.29
1 | 111 | 260 | 73.98
1 | 112 | 422 | 87.37
1 | 113 | 320 | 90.24
1 | 114 | 399 | 62.87
1 | 115 | 282 | 86.51
1 | 116 | 353 | 95.48
1 | 117 | 393 | 99.22
1 | 118 | 295 | 76.4
1 | 119 | 276 | 86.42
1 | 120 | 276 | 95.55
1 | 121 | 322 | 88.78
1 | 122 | 284 | 82.31
1 | 123 | 367 | 78.64
1 | 124 | 409 | 85.08
1 | 125 | 257 | 83.72
1 | 126 | 417 | 72.2
1 | 127 | 377 | 88.14
1 | 128 | 300 | 77.98
1 | 129 | 388 | 80.36
1 | 130 | 387 | 62.48
1 | 131 | 321 | 74.82
1 | 132 | 388 | 99.72
1 | 133 | 333 | 91.43
1 | 134 | 226 | 72.81
1 | 135 | 242 | 89.01
1 | 136 | 297 | 80.55
1 | 137 | 222 | 81.86
1 | 138 | 376 | 89.72
1 | 139 | 312 | 73.63
1 | 140 | 367 | 72.42
1 | 141 | 397 | 82.85
1 | 142 | 400 | 96.09
1 | 143 | 344 | 75.21
1 | 144 | 354 | 62.06
1 | 145 | 217 | 60.69
1 | 146 | 368 | 72.35
1 | 147 | 228 | 99.05
1 | 148 | 320 | 65.87
1 | 149 | 258 | 63.03
1 | 150 | 335 | 86.05
1 | 151 | 285 | 72.49
1 | 152 | 417 | 91.21
1 | 153 | 268 | 87.1
1 | 154 | 343 | 64.22
1 | 155 | 279 | 85.48
1 | 156 | 329 | 94.4
1 | 157 | 292 | 92.89
1 | 158 | 291 | 66.23
1 | 159 | 351 | 99.21
1 | 160 | 429 | 97.53
1 | 161 | 329 | 98.76
1 | 162 | 233 | 84.98
1 | 163 | 279 | 91.1
1 | 164 | 377 | 63.94
1 | 165 | 428 | 67.73
1 | 166 | 377 | 80.26
1 | 167 | 257 | 98.57
1 | 168 | 272 | 96.84
1 | 169 | 368 | 79.95
1 | 170 | 348 | 90.52
1 | 171 | 256 | 73.96
1 | 172 | 315 | 95.7
1 | 173 | 410 | 89.96
1 | 174 | 238 | 77.98
1 | 175 | 402 | 69.71
1 | 176 | 352 | 62.09
1 | 177 | 409 | 67.12
1 | 178 | 308 | 76.79
1 | 179 | 231 | 75.39
1 | 180 | 340 | 69.42
1 | 181 | 262 | 73.15
1 | 182 | 422 | 75.26
1 | 183 | 402 | 67.12
1 | 184 | 289 | 60.44
1 | 185 | 309 | 83.11
1 | 186 | 381 | 70.26
1 | 187 | 303 | 65.31
1 | 188 | 345 | 71.87
1 | 189 | 362 | 64.27
1 | 190 | 246 | 85.95
1 | 191 | 291 | 67.87
1 | 192 | 392 | 87.16
1 | 193 | 300 | 71.8
1 | 194 | 420 | 88.39
1 | 195 | 311 | 73.84
1 | 196 | 285 | 86.49
1 | 197 | 405 | 61.37
1 | 198 | 393 | 94.17
1 | 199 | 373 | 76.33
1 | 200 | 376 | 77.39
1 | 201 | 320 | 75.43
1 | 202 | 421 | 83.27
1 | 203 | 264 | 83.88
1 | 204 | 429 | 69.83
1 | 205 | 281 | 73.53
1 | 206 | 253 | 65.16
1 | 207 | 256 | 85.71
1 | 208 | 408 | 66.31
1 | 209 | 216 | 66.53
1 | 210 | 309 | 91.87
1 | 211 | 339 | 89.11
1 | 212 | 375 | 90.72
1 | 213 | 390 | 60.25
1 | 214 | 414 | 83.14
1 | 215 | 341 | 86.15
1 | 216 | 363 | 78.67
1 | 217 | 381 | 96.49
1 | 218 | 328 | 65.94
1 | 219 | 400 | 91.99
1 | 220 | 382 | 97.82
1 | 221 | 355 | 77.22
1 | 222 | 416 | 74.26
1 | 223 | 380 | 78.73
1 | 224 | 349 | 98.3
1 | 225 | 319 | 72.82
1 | 226 | 387 | 65.17
1 | 227 | 408 | 66.18
1 | 228 | 270 | 91.35
1 | 229 | 234 | 85.57
1 | 230 | 353 | 63.08
1 | 231 | 230 | 65.04
1 | 232 | 355 | 78.61
1 | 233 | 392 | 87.11
1 | 234 | 314 | 66.55
1 | 235 | 419 | 78.13
1 | 236 | 318 | 84.94
1 | 237 | 292 | 91.56
1 | 238 | 235 | 80.77
1 | 239 | 219 | 71.78
1 | 240 | 218 | 84.56
1 | 241 | 366 | 65.76
1 | 242 | 282 | 93.46
1 | 243 | 393 | 92.12
1 | 244 | 424 | 93.05
1 | 245 | 272 | 93.85
1 | 246 | 301 | 93.36
1 | 247 | 221 | 79.98
1 | 248 | 382 | 67.2
1 | 249 | 324 | 85.49
2 | 0 | 319 | 97.66
2 | 1 | 347 | 73.44
2 | 2 | 409 | 70.19
2 | 3 | 567 | 85.26
2 | 4 | 571 | 88.33
2 | 5 | 562 | 98.24
2 | 6 | 492 | 61.28
2 | 7 | 545 | 65.61
2 | 8 | 398 | 77.49
2 | 9 | 394 | 94.22
2 | 10 | 326 | 97.24
2 | 11 | 378 | 86.1
2 | 12 | 320 | 67.68
2 | 13 | 316 | 69.75
2 | 14 | 576 | 86.92
2 | 15 | 390 | 79.23
2 | 16 | 427 | 85.54
2 | 17 | 342 | 76.4
2 | 18 | 500 | 81.07
2 | 19 | 418 | 76.14
2 | 20 | 362 | 66.03
2 | 21 | 388 | 72.4
2 | 22 | 535 | 86
2 | 23 | 364 | 95.2
2 | 24 | 555 | 69.09
2 | 25 | 311 | 96.38
2 | 26 | 470 | 82.94
2 | 27 | 566 | 62.19
2 | 28 | 317 | 81.79
2 | 29 | 465 | 81.56
2 | 30 | 564 | 74.07
2 | 31 | 426 | 93.09
2 | 32 | 322 | 96.62
2 | 33 | 391 | 65.92
